"Nekateri kazalniki transporta po: KAZALNIK, OBÈINE , LETO"

" ";" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Število osebnih avtomobilov na 1.000 prebivalcev"
" ";"Ajdovšèina";590;594;593;590;579;580;581;585;594;606
" ";"Ankaran/Ancarano";...;...;...;...;...;...;...;556;584;585
" ";"Apaèe";207;306;377;451;503;530;544;554;567;578
" ";"Beltinci";459;464;473;478;484;485;496;493;506;515
" ";"Benedikt";487;497;502;508;532;516;523;528;553;556
" ";"Bistrica ob Sotli";502;508;506;517;527;536;547;549;554;565
" ";"Bled";639;622;595;564;550;543;544;546;556;567
" ";"Bloke";516;517;528;538;541;548;550;560;579;593
" ";"Bohinj";494;497;500;509;509;514;523;518;524;534
" ";"Borovnica";506;519;515;513;512;505;497;502;496;513
" ";"Bovec";482;487;483;495;493;509;512;508;523;538
" ";"Braslovèe";539;541;539;541;537;539;540;543;550;566
" ";"Brda";627;630;638;633;639;641;644;640;657;662
" ";"Brezovica";536;536;528;521;517;516;517;519;524;531
" ";"Brežice";497;508;508;515;514;519;527;528;542;553
" ";"Cankova";509;513;522;536;540;552;554;562;569;583
" ";"Celje";507;511;512;515;510;502;502;497;499;511
" ";"Cerklje na Gorenjskem";559;563;559;560;566;579;583;571;584;592
" ";"Cerknica";525;528;532;532;539;535;539;541;549;565
" ";"Cerkno";543;546;555;559;558;554;566;565;573;579
" ";"Cerkvenjak";499;493;495;504;514;520;522;547;550;576
" ";"Cirkulane";201;270;361;429;460;478;486;511;497;519
" ";"Èrenšovci";439;444;455;457;470;479;481;484;498;521
" ";"Èrna na Koroškem";435;443;449;452;457;461;456;463;476;476
" ";"Èrnomelj";472;479;480;484;486;487;496;505;517;531
" ";"Destrnik";492;489;505;517;525;532;536;547;543;554
" ";"Divaèa";583;591;597;595;597;591;599;599;612;624
" ";"Dobje";526;526;521;536;541;526;516;527;535;554
" ";"Dobrepolje";469;470;478;480;485;484;489;501;509;516
" ";"Dobrna";473;479;487;492;501;485;503;499;497;518
" ";"Dobrova - Polhov Gradec";532;539;540;536;536;545;539;538;546;551
" ";"Dobrovnik/Dobronak";435;452;461;471;474;486;491;481;487;501
" ";"Dol pri Ljubljani";537;541;533;537;535;527;529;531;538;542
" ";"Dolenjske Toplice";506;519;523;537;534;535;543;549;547;567
" ";"Domžale";530;534;529;530;527;524;525;527;528;537
" ";"Dornava";428;437;446;452;464;471;477;472;480;511
" ";"Dravograd";506;510;511;512;518;522;531;527;540;553
" ";"Duplek";537;550;547;549;545;546;551;557;563;568
" ";"Gorenja vas - Poljane";522;527;532;539;539;542;543;547;553;556
" ";"Gorišnica";599;567;523;503;501;503;512;512;522;529
" ";"Gorje";244;337;406;479;530;532;530;525;538;553
" ";"Gornja Radgona";632;599;575;552;538;529;532;535;545;562
" ";"Gornji Grad";457;462;470;480;487;479;494;506;503;515
" ";"Gornji Petrovci";446;466;472;488;507;514;522;530;542;563
" ";"Grad";469;484;498;506;511;516;522;534;558;563
" ";"Grosuplje";524;525;529;524;520;518;518;521;523;528
" ";"Hajdina";537;537;539;549;548;557;555;559;562;577
