"Nekateri kazalniki transporta po: KAZALNIK, STATISTIÈNA REGIJA , LETO"

" ";" ";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev"
" ";"SLOVENIJA";1.4;1.3;1.2;1.4;1.3;1.3;1.5;1.1;0.8;0.7;0.7;0.6;0.6;0.5;0.6;0.6;0.5
" ";"Pomurska";1.4;1.1;1.5;1.9;1.3;1.9;2.3;1.3;0.5;0.8;0.3;0.8;0.8;0.4;0.3;0.6;0.5
" ";"Podravska";1.3;1.4;1.1;1.3;1.2;1.4;1.6;1.3;0.7;0.6;1.0;0.5;0.5;0.7;0.6;0.7;0.6
" ";"Koroška";0.7;1.4;1.4;0.9;1.2;0.8;1.2;1.1;0.7;0.6;1.0;0.8;0.4;0.4;0.6;0.7;0.8
" ";"Savinjska";1.7;1.8;1.1;1.4;1.2;1.0;1.6;1.3;1.0;0.5;0.4;0.6;0.8;0.5;0.7;0.6;0.5
" ";"Zasavska";0.4;0.2;0.9;1.1;0.9;0.2;1.3;0.7;0.9;0.4;0.0;1.4;0.2;0.2;0.5;0.7;0.5
" ";"Spodnjeposavska";1.1;1.4;1.1;1.3;1.0;1.0;0.9;1.0;0.7;0.9;0.4;0.4;1.7;0.3;0.1;0.9;0.7
" ";"Jugovzhodna Slovenija";2.2;1.7;1.5;2.4;3.0;1.6;1.5;1.3;1.3;0.9;0.7;0.6;0.4;0.4;0.6;0.6;0.3
" ";"Osrednjeslovenska";1.0;1.2;1.0;1.1;1.2;1.2;1.3;0.8;0.7;0.6;0.6;0.4;0.4;0.4;0.5;0.4;0.4
" ";"Gorenjska";1.2;1.1;0.8;1.3;1.0;0.9;1.4;0.9;1.1;0.9;0.8;0.8;0.7;0.5;0.5;0.4;0.4
" ";"Notranjsko-kraška";1.4;1.0;1.8;2.0;2.5;1.8;2.9;0.8;1.2;0.6;1.3;1.1;1.5;1.1;1.1;0.6;1.5
" ";"Goriška";2.2;1.0;1.7;1.3;0.6;1.6;0.6;1.3;0.9;0.5;0.9;1.0;0.5;0.8;1.2;1.0;0.7
" ";"Obalno-kraška";2.3;1.9;2.1;1.3;1.0;2.2;1.4;0.8;0.8;1.0;0.8;0.7;0.7;0.9;0.5;1.0;0.3
"Povpreèna starost osebnih avtomobilov"
" ";"SLOVENIJA";6.9;7.1;7.3;7.4;7.5;7.6;7.7;7.8;8.0;8.2;8.4;8.7;9.1;9.4;9.7;9.9;10.0
" ";"Pomurska";7.8;7.9;8.1;8.2;8.3;8.3;8.4;8.5;8.5;8.6;8.7;8.9;9.2;9.5;9.8;9.9;10.0
" ";"Podravska";7.2;7.3;7.5;7.6;7.7;7.8;7.9;8.0;8.1;8.3;8.6;8.9;9.2;9.6;9.8;10.0;10.1
" ";"Koroška";6.8;7.0;7.3;7.4;7.5;7.6;7.7;7.8;8.1;8.2;8.4;8.7;8.9;9.2;9.5;9.6;9.6
" ";"Savinjska";7.1;7.3;7.5;7.6;7.7;7.8;7.9;8.1;8.2;8.4;8.7;9.0;9.4;9.7;10.0;10.2;10.3
" ";"Zasavska";7.1;7.4;7.5;7.5;7.6;7.6;7.6;7.8;7.9;8.1;8.3;8.6;9.0;9.4;9.8;10.0;10.0
" ";"Spodnjeposavska";7.7;7.9;8.0;8.1;8.3;8.4;8.5;8.7;8.8;9.0;9.2;9.6;9.9;10.2;10.5;10.8;10.8
" ";"Jugovzhodna Slovenija";6.8;7.0;7.2;7.3;7.4;7.5;7.6;7.8;8.0;8.2;8.5;8.8;9.2;9.5;9.8;10.0;10.1
" ";"Osrednjeslovenska";6.4;6.6;6.8;6.8;7.0;7.0;7.1;7.2;7.4;7.6;7.8;8.2;8.5;8.8;9.1;9.3;9.3
" ";"Gorenjska";6.8;7.0;7.2;7.3;7.4;7.5;7.6;7.7;7.9;8.0;8.3;8.6;8.9;9.2;9.5;9.7;9.8
" ";"Notranjsko-kraška";7.2;7.4;7.6;7.6;7.8;7.9;8.1;8.2;8.5;8.7;9.0;9.3;9.6;10.0;10.4;10.6;10.8
" ";"Goriška";7.2;7.4;7.5;7.6;7.8;8.0;8.1;8.3;8.6;8.9;9.2;9.6;10.0;10.4;10.8;11.1;11.3
" ";"Obalno-kraška";6.8;6.9;7.0;7.1;7.3;7.4;7.4;7.5;7.7;8.0;8.2;8.7;9.1;9.5;9.9;10.1;10.3

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7794 target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3.Opombe o spremembah posameznih regij so "
"zapisane k vsaki spremenjeni regiji in so ob izpisu tabele na zaslon "
"dostopne s klikom na ikono za opombe (zvezdica). V opombah je na "
"zaèetku naveden datum, s katerim je opisana teritorialna sprememba "
"upoštevana pri teritorialnem razvršèanju enot za statistiène namene."

